"BookTitle","AuthorName","BookRating"
"Deadly Stillwater (McRyan Mystery Series, #2)","Roger Stelljes","4.03"
"Wicked Eddies (An RM Outdoor Adventures Mystery #2)","Beth Groundwater","3.78"
"The Secret Place (Dublin Murder Squad, #5)","Tana French","3.84"
"The Draining Lake (Inspector Erlendur #6)","Arnaldur Indridason","3.90"
"Winter Study (Anna Pigeon, #14)","Nevada Barr","3.83"
"J is for Judgment (Kinsey Millhone, #10)","Sue Grafton","4.01"
"M is for Malice (Kinsey Millhone, #13)","Sue Grafton","4.08"
"White Nights (Shetland Island, #2)","Ann Cleeves","3.97"
"Kiss Of Evil (Jack Paris, #2)","Richard Montanari","3.74"
"G.I. Bones (Sergeants Sue§o and Bascom #6)","Martin Lim¢n","3.84"
"Ill Wind (Anna Pigeon, #3)","Nevada Barr","3.89"
"Doing Max Vinyl (Annie Ogden, #1)","Frederick Lee Brooke","3.87"
"Alif the Unseen","G. Willow Wilson","3.84"
"Fight Card: Front Page Palooka","Anthony Venutolo","4.83"
"Death by Blue Water (A Hayden Kent Mystery #1)","Kait Carson","4.27"
"Dirt Nap Rhapsody","Jules Cassard","4.12"
"JAMES 516 (London Carter, #1)","B.J. Bourg","4.29"
"The Screaming","David    Graham","3.51"
"One for the Money (Stephanie Plum, #1)","Janet Evanovich","4.03"
"Happy Holiday Homicides","Micah Minnefer","4.88"
"Fatal Whispers (Megan Scott/Michael Elliott, #2)","Sandra Nikolai","4.30"
"No Time To Die","John Blandly","it wa"
"Busman's Honeymoon (Lord Peter Wimsey, #13)","Dorothy L. Sayers","4.28"
"Messiah","Boris Starling","4.18"
"Fatal Descent (An RM Outdoor Adventures Mystery, #3)","Beth Groundwater","3.93"
"The Man Who Smiled (Kurt Wallander #4)","Henning Mankell","3.93"
"The Yard (Scotland Yard's Murder Squad, #1)","Alex Grecian","3.78"
"Death on the Nile (Hercule Poirot #17)","Agatha Christie","4.08"
"Picker Kindle Edition","Chad Schimke","4.08"
"The Silkworm (Cormoran Strike, #2)","Robert Galbraith","4.04"
"The Client","John Grisham","3.98"
"The Lovely Bones","Alice Sebold","3.78"
"Double Indemnity","James M. Cain","4.12"
"The Surgeon (Rizzoli & Isles, #1)","Tess Gerritsen","4.10"
"The Queen of the South","Arturo PÇrez-Reverte","3.91"
"The Bone Collector (Lincoln Rhyme, #1)","Jeffery Deaver","4.18"
"Aberystwyth Mon Amour (Aberystwyth Noir, #1)","Malcolm Pryce","3.59"
"Leather Maiden","Joe R. Lansdale","3.78"
"Death Without Company (Walt Longmire, #2)","Craig Johnson","4.23"
"The Sixth Man (Sean King & Michelle Maxwell, #5)","David Baldacci","4.13"
"Now You See Me (Lacey Flint, #1)","Sharon J. Bolton","4.04"
"Oracle","J.C.  Martin","reall"
"Bangkok 8 (Sonchai Jitpleecheep #1)","John Burdett","3.76"
"Two for the Dough (Stephanie Plum, #2)","Janet Evanovich","4.11"
"The Man from Beijing","Henning Mankell","3.47"
