"Offence Id","Date Reported","Date Occured","Time Occured","Location","No: of Victims","Shift of the victim","Day Occured","Loc Type","Crime Type","Neighbourhood","NPU","X-Co-ordinate","Y-Co-ordinate"
173262453,"11/22/2017","11/21/2017","22:00:00","1058 DEAN DR NW",1,"Unk","Wed",99,"AUTO THEFT","Wildwood (NPU-C)","C",-84.41767,33.82064
173262466,"11/22/2017","11/22/2017","18:00:00","827 BURCHILL ST SW",1,"Eve","Wed",20,"LARCENY-FROM VEHICLE","Sylvan Hills","X",-84.4157,33.71274
173262468,"11/22/2017","11/22/2017","21:40:00","2612 STEELE AVE SW",1,"Eve","Wed",20,"AGG ASSAULT","Browns Mill Park","Z",-84.3962,33.68166
173262474,"11/22/2017","11/22/2017","20:30:00","171 AUBURN AVE NE @CITY WALK APARTMENTS",1,"Eve","Wed",20,"LARCENY-FROM VEHICLE","Downtown","M",-84.38185,33.75546
173262537,"11/22/2017","11/22/2017","20:00:00","1192 PRYOR ST SW",1,"Eve","Wed",23,"ROBBERY-PEDESTRIAN","Peoplestown","V",-84.3928,33.72287
173262555,"11/22/2017","11/22/2017","22:50:00","60 LITTLE ST SE",1,"Eve","Wed",13,"AUTO THEFT","Summerhill","V",-84.38587,33.73332
173262144,"11/22/2017","11/22/2017","09:30:00","1100 PEACHTREE ST NE",1,"Day","Wed",18,"LARCENY-FROM VEHICLE","Midtown","E",-84.38362,33.78492
173262145,"11/22/2017","11/18/2017","15:00:00","1541 ORLANDO STREET SW",1,"Unk","Unk",18,"LARCENY-NON VEHICLE","Cascade Avenue/Road","S",-84.43824,33.72353
173262154,"11/22/2017","11/22/2017","12:00:00","2159 FERNLEAF PARK DR NW",1,"Day","Wed",20,"LARCENY-NON VEHICLE","Fernleaf","C",-84.43842,33.81786
173262170,"11/22/2017","11/22/2017","18:30:00","700 NEAL ST",1,"Eve","Wed",20,"AGG ASSAULT","English Avenue","L",-84.41259,33.76821
173262215,"11/22/2017","11/22/2017","14:30:00","3393 PEACHTREE RD NE",1,"Eve","Wed",8,"LARCENY-NON VEHICLE","Lenox","B",-84.36475,33.84884
173262246,"11/22/2017","11/22/2017","18:00:00","1634 MCLENDON AVE NE",2,"Eve","Wed",21,"LARCENY-FROM VEHICLE","Candler Park","N",-84.33395,33.765
173262343,"11/22/2017","11/22/2017","18:40:00","350 MARIETTA ST NW",2,"Eve","Wed",18,"LARCENY-FROM VEHICLE","Downtown","M",-84.39715,33.76268
173262346,"11/22/2017","11/22/2017","19:50:00","3393 PEACHTREE RD NE",1,"Eve","Wed",8,"LARCENY-NON VEHICLE","Lenox","B",-84.36212,33.84676
173262377,"11/22/2017","11/22/2017","17:00:00","1756 MELROSE DR SW",1,"Eve","Wed",20,"BURGLARY-RESIDENCE","Sylvan Hills","X",-84.42003,33.70696
173262433,"11/22/2017","11/22/2017","21:20:00","981 MONROE DR NE",1,"Eve","Wed",21,"LARCENY-NON VEHICLE","Midtown","E",-84.36871,33.78097
173262434,"11/22/2017","11/22/2017","21:25:00","1460  ALLEGHENY ST SW",1,"Eve","Wed",13,"ROBBERY-PEDESTRIAN","West End","T",-84.43557,33.73497
173262445,"11/22/2017","11/22/2017","21:00:00","3660 CAMP CREEK PKWY SW",4,"Eve","Wed",21,"LARCENY-FROM VEHICLE","Princeton Lakes","P",-84.50787,33.65486
173122439,"11/22/2017","11/08/2017","13:00:00","1300 SPRING ST NW",1,"Eve","Wed",18,"AUTO THEFT","Midtown","E",-84.38941,33.79026
173261728,"11/22/2017","11/22/2017","04:40:00","1132 PEACHTREE ST NE",1,"Day","Wed",18,"AUTO THEFT","Midtown","E",-84.3831,33.78561
173252601,"11/22/2017","11/21/2017","22:00:00","2858 MARCO DR NW",2,"Eve","Tue",20,"AUTO THEFT","Lincoln Homes","G",-84.47688,33.79798
173252615,"11/21/2017","11/21/2017","01:00:00","3800 PRINCETON LAKES PKWY SW",2,"Unk","Tue",18,"LARCENY-FROM VEHICLE","Princeton Lakes","P",-84.51327,33.65635
173252248,"11/21/2017","11/21/2017","19:31:00","2061 MAIN ST NW",1,"Eve","Tue",18,"LARCENY-FROM VEHICLE","Riverside","D",-84.47211,33.81205
173252256,"11/21/2017","11/20/2017","22:00:00","171 AUBURN AVE NE @CITY WALK APARTMENTS",1,"Morn","Tue",18,"LARCENY-FROM VEHICLE","Downtown","M",-84.38185,33.75546
173252302,"11/21/2017","11/20/2017","21:00:00","1178 PIEDMONT AVE NE",1,"Morn","Tue",26,"LARCENY-NON VEHICLE","Ansley Park","E",-84.37824,33.78733
173252326,"11/21/2017","11/21/2017","06:00:00","890 MAIDEN LN NE",1,"Day","Tue",99,"LARCENY-FROM VEHICLE","Virginia Highland","F",-84.36062,33.77471
173252348,"11/21/2017","11/21/2017","19:39:00","3334 PEACHTREE RD NE",1,"Eve","Tue",NA,"LARCENY-NON VEHICLE","North Buckhead","B",-84.37075,33.84911
173252402,"11/21/2017","11/21/2017","01:28:00","864 WESTMONT RD SW",1,"Unk","Tue",20,"BURGLARY-RESIDENCE","Oakland City","S",-84.43715,33.73164
173252458,"11/21/2017","11/21/2017","17:15:00","741 PIEDMONT AVE NE",3,"Eve","Tue",13,"LARCENY-FROM VEHICLE","Midtown","E",-84.38121,33.7748
173252529,"11/21/2017","11/21/2017","17:30:00","41 MARIETTA ST NW @PALMER BUILDING",1,"Eve","Tue",13,"LARCENY-FROM VEHICLE","Downtown","M",-84.39059,33.75549
173252562,"11/21/2017","11/21/2017","20:30:00","1006 MCMILLAN ST NW",1,"Eve","Tue",13,"LARCENY-FROM VEHICLE","Home Park","E",-84.40434,33.78233
173252574,"11/21/2017","11/21/2017","22:30:00","49 BOULEVARD SE",2,"Morn","Wed",20,"LARCENY-FROM VEHICLE","Sweet Auburn","M",-84.3721,33.75253
173252579,"11/21/2017","11/21/2017","21:56:00","1462 LANIER PL NE",2,"Unk","Wed",13,"LARCENY-FROM VEHICLE","Morningside/Lenox Park","F",-84.3547,33.79396
173252580,"11/21/2017","11/21/2017","22:39:00","398 OAKLAND AVE SE",1,"Eve","Tue",13,"LARCENY-FROM VEHICLE","Grant Park","W",-84.37465,33.7438
173252584,"11/21/2017","11/21/2017","22:40:00","15 MORELAND AVE NE",1,"Eve","Tue",NA,"ROBBERY-COMMERCIAL","Edgewood","O",-84.34909,33.754
173252588,"11/21/2017","11/19/2017","22:00:00","2855 PEACHTREE RD NE",1,"Unk","Unk",18,"LARCENY-FROM VEHICLE","Garden Hills","B",-84.384,33.83277
173201889,"11/21/2017","11/16/2017","16:49:00","191 PEACHTREE ST NE",1,"Unk","Unk",18,"AUTO THEFT","Downtown","M",-84.3864,33.75879
173250012,"11/21/2017","11/20/2017","17:00:00","565 MCDANIEL ST SW",1,"Eve","Mon",18,"LARCENY-FROM VEHICLE","Mechanicsville","V",-84.40237,33.73977
173250099,"11/21/2017","11/20/2017","22:00:00","1321 GLENWOOD AVE SE",1,"Morn","Mon",18,"AUTO THEFT","East Atlanta","W",-84.3443,33.73991
173250204,"11/21/2017","11/21/2017","01:00:00","1123 HAWTHORNE ST NE",1,"Morn","Tue",20,"BURGLARY-RESIDENCE","Reynoldstown","N",-84.35081,33.75441
173250207,"11/21/2017","11/21/2017","01:53:00","1990 METROPOLITAN PKWY SW",1,"Morn","Tue",18,"AUTO THEFT","Sylvan Hills","X",-84.40766,33.69995
173250264,"11/21/2017","11/21/2017","02:00:00","1459 MORELAND AVE SE;",1,"Morn","Tue",24,"ROBBERY-PEDESTRIAN","Custer/McDonough/Guice","W",-84.35009,33.71443
173250408,"11/21/2017","11/21/2017","01:00:00","934 MAYSON TURNER RD NW",1,"Morn","Tue",20,"BURGLARY-RESIDENCE","Washington Park","K",-84.41792,33.75824
173250484,"11/21/2017","11/21/2017","06:05:00","1482 ANDREWS ST NW",1,"Morn","Tue",20,"AGG ASSAULT","Hunter Hills","K",-84.43675,33.76
173250517,"11/21/2017","11/20/2017","22:30:00","36 JOHN PORTMAN BLVD NE",1,"Morn","Tue",18,"LARCENY-FROM VEHICLE","Downtown","M",-84.38561,33.76074
173250533,"11/21/2017","11/20/2017","23:00:00","330 W PEACHTREE ST NW @SQUIRE INN MOTEL DT",1,"Morn","Tue",13,"AUTO THEFT","Downtown","M",-84.38791,33.76364
173250580,"11/21/2017","11/20/2017","06:00:00","175 LAKEWOOD WAY SW",1,"Day","Mon",5,"LARCENY-NON VEHICLE","Lakewood Heights","Y",-84.39608,33.70409
173250598,"11/21/2017","11/14/2017","23:40:00","1660 STANTON RD SW",1,"Unk","Unk",20,"BURGLARY-RESIDENCE",NA,"R",-84.44361,33.70988
173250634,"11/21/2017","11/20/2017","20:00:00","490 GLENN ST SW",1,"Morn","Tue",26,"AUTO THEFT","Mechanicsville","V",-84.40262,33.73805
173250681,"11/21/2017","11/21/2017","08:21:00","1801 HOWELL MILL RD NW",1,"Day","Tue",8,"LARCENY-NON VEHICLE","Berkeley Park","D",-84.41278,33.80388
173250691,"11/21/2017","11/20/2017","20:00:00","2811 ANDREWS DR NW",1,"Morn","Tue",20,"LARCENY-FROM VEHICLE","Peachtree Heights West","B",-84.38779,33.83183
173250694,"11/21/2017","11/20/2017","21:00:00","960 CONSTITUTION RD SE",1,"Morn","Tue",26,"LARCENY-FROM VEHICLE","Norwood Manor","Z",-84.35805,33.69307
173250720,"11/21/2017","11/20/2017","16:00:00","2870 ALEXA AVE SE",1,"Morn","Mon",20,"BURGLARY-RESIDENCE","East Lake","O",-84.29303,33.74331
173250784,"11/21/2017","11/21/2017","09:00:00","50 UPPER ALABAMA ST SW",1,"Day","Tue",9,"LARCENY-NON VEHICLE","Downtown","M",-84.38964,33.75194
173250824,"11/21/2017","11/20/2017","20:00:00","419 CHAMBERLAIN ST SE",1,"Morn","Tue",13,"LARCENY-FROM VEHICLE","Sweet Auburn","M",-84.37375,33.75369
173250873,"11/21/2017","11/17/2017","17:00:00","689 11TH ST NW",1,"Unk","Unk",5,"LARCENY-NON VEHICLE","Home Park","E",-84.41019,33.78309
173250898,"11/21/2017","11/21/2017","10:00:00","1352 FULTON INDUSTRIAL BLVD NW",2,"Day","Tue",NA,"ROBBERY-PEDESTRIAN","Atlanta Industrial Park","G",-84.4958,33.79027
173251018,"11/21/2017","11/21/2017","10:45:00","1120 RALPH D ABERNATHY BLVD SW",1,"Day","Tue",5,"ROBBERY-PEDESTRIAN","West End","T",-84.4244,33.73836
173251037,"11/21/2017","11/20/2017","04:20:00","396 PIEDMONT AVE NE",1,"Unk","Mon",18,"LARCENY-FROM VEHICLE","Downtown","M",-84.3826,33.76491
173251070,"11/21/2017","09/30/2017","05:00:00","754 LEXINGTON AVE SW",1,"Morn","Sat",13,"LARCENY-FROM VEHICLE","Adair Park","V",-84.41237,33.72464
173251073,"11/21/2017","11/17/2017","12:00:00","443 FAIRLOCK LN NW",1,"Unk","Unk",20,"LARCENY-NON VEHICLE","Fairburn Heights","H",-84.50766,33.76736
173251093,"11/21/2017","11/13/2017","00:05:00","1406 SHERRIE LN SW",1,"Unk","Unk",NA,"BURGLARY-RESIDENCE","Greenbriar Village","P",-84.53825,33.70418
173251094,"11/21/2017","11/21/2017","11:10:00","1007 JOSEPH E BOONE BLVD NW",1,"Day","Tue",13,"ROBBERY-PEDESTRIAN","Bankhead","K",-84.42052,33.76374
173251104,"11/21/2017","11/20/2017","21:30:00","4011 ESTER DR SW",1,"Morn","Tue",18,"AUTO THEFT","Wilson Mill Meadows","H",-84.5188,33.75374
